IDS	rat.gene.name	rat.entrez.ID	rat.uniprot	mouse.gene.name	mouse.entrez.ID	mouse.uniprot	human.gene.name	human.entez.ID	human.uniprot	% Cov	Peptide (95%)
Q6NVY1	Hibch	301384	Q5XIE6	Hibch	227095	Q8QZS1	HIBCH	26275	Q6NVY1	11.1	4
Q9UQ80	Pa2g4	288778	Q6AYD3	Pa2g4	18813	P50580	PA2G4	5036	Q9UQ80	17	4
Q96IU4	Abhd14b	300983	Q6DGG1	Abhd14b	76491	E9QN99	ABHD14B	84836	Q96IU4	28.1	5
P39019	Rps19	29287	P17074	Rps19	20085	Q9CZX8	RPS19	6223	P39019	39.3	4
Q8IWQ3	Brsk2	293631	NA	Brsk2	75770	Q69Z98	BRSK2	9024	Q8IWQ3	24.7	5
O75351	Vps4b	360834	Q4KLL7	Vps4b	20479	P46467	VPS4B	9525	O75351	19.8	5
Q15084	Pdia6	286906	Q63081	Pdia6	71853	Q922R8	PDIA6	10130	Q15084	19.1	4
O00305	Cacnb4	58942	D4A055	Cacnb4	12298	Q8R0S4	CACNB4	785	O00305	16.5	5
Q4G0F5	Vps26b	300472	B1WBS4	Vps26b	69091	Q8C0E2	VPS26B	112936	Q4G0F5	25	5
P62820	Rab1a	81754	NA	Rab1a	19324	P62821	RAB1A	5861	P62820	62.4	8
Q5JSH3	Wdr44	246152	A0A0G2K7S6	Wdr44	72404	Q6NVE8	WDR44	54521	Q5JSH3	10.8	4
Q9Y6C9	Mtch2	295922	B0BN52	Mtch2	56428	Q791V5	MTCH2	23788	Q9Y6C9	17.5	4
Q14166	Ttll12	300105	D4A1Q9	Ttll12	223723	Q3UDE2	TTLL12	23170	Q14166	9.9	4
P50570	Dnm2	25751	P39052	Dnm2	13430	P39054	DNM2	1785	P50570	30.1	33
Q14254	Flot2	83764	Q9Z2S9	Flot2	14252	Q60634	FLOT2	2319	Q14254	17.5	4
Q99627	Cops8	363283	Q6P4Z9	Cops8	108679	Q8VBV7	COPS8	10920	Q99627	35.9	4
P33176	Kif5b	117550	Q2PQA9	Kif5b	16573	Q61768	KIF5B	3799	P33176	23.1	9
Q96L92	Snx27	260323	Q8K4V4	Snx27	76742	Q3UHD6	SNX27	81609	Q96L92	15.3	4
P01857	NA	NA	NA	NA	NA	NA	NA	NA	P01857	21.2	4
P04080	Cstb	25308	P01041	Cstb	13014	Q62426	CSTB	1476	P04080	70.4	5
Q9P2R3	Ankfy1	303292	D4A1J6	Ankfy1	11736	Q810B6	ANKFY1	51479	Q9P2R3	10.7	5
Q9GZP4	Pithd1	298557	NA	Pithd1	66193	Q8BWR2	PITHD1	57095	Q9GZP4	34.6	4
Q96FW1	Otub1	293705	B2RYG6	Otub1	107260	Q7TQI3	OTUB1	55611	Q96FW1	24.7	4
Q07157	Tjp1	292994	F1M4A0	Tjp1	21872	P39447	TJP1	7082	Q07157	9.2	5
O43747	Ap1g1	171494	B2RYN6	Ap1g1	11765	P22892	AP1G1	164	O43747	12.8	5
P07814	Eprs	289352	Q6TXE9	Eprs	107508	Q8CGC7	EPRS	2058	P07814	6.8	4
O43854	Edil3	688400	F1M6P8	Edil3	13612	O35474	EDIL3	10085	O43854	13.3	4
Q9Y371	Sh3glb1	292156	Q6AYE2	Sh3glb1	54673	Q9JK48	SH3GLB1	51100	Q9Y371	22.2	4
P01034	Cst3	25307	P14841	Cst3	13010	P21460	CST3	1471	P01034	45.2	4
P20674	Cox5a	252934	P11240	Cox5a	12858	P12787	COX5A	9377	P20674	28	4
Q9BSD7	Ntpcr	361443	D4A478	Ntpcr	66566	Q9CQA9	NTPCR	84284	Q9BSD7	28.4	4
Q8IVD9	Nudcd3	100125378	Q32PY7	Nudcd3	209586	Q8R1N4	NUDCD3	23386	Q8IVD9	12.2	4
Q8IV01	Syt12	191595	P97610	Syt12	171180	Q920N7	SYT12	91683	Q8IV01	19	4
O60825	Pfkfb2	24640	Q9JJH5	Pfkfb2	18640	P70265	PFKFB2	5208	O60825	23.6	4
P51148	Rab5c	287709	B0BNK1	Rab5c	19345	P35278	RAB5C	5878	P51148	31.9	4
O15511	Arpc5	360854	Q4KLF8	Arpc5	67771	Q9CPW4	ARPC5	10092	O15511	43.7	4
Q13618	Cul3	301555	B5DF89	Cul3	26554	Q9JLV5	CUL3	8452	Q13618	12	5
P09497	Cltb	116561	P08082	Cltb	74325	Q6IRU5	CLTB	1212	P09497	31	4
A0FGR8	Esyt2	299488	NA	Esyt2	52635	Q3TZZ7	ESYT2	57488	A0FGR8	11.3	4
Q8TD22	Sfxn5	261737	Q8CFD0	Sfxn5	94282	Q925N0	SFXN5	94097	Q8TD22	21.2	4
O75146	Hip1r	81917	B5DFK5	Hip1r	29816	Q9JKY5	HIP1R	9026	O75146	16.9	4
Q12959	Dlg1	25252	Q62696	Dlg1	13383	Q811D0	DLG1	1739	Q12959	12	6
Q9H0E2	Tollip	361677	A2RUW1	Tollip	54473	Q9QZ06	TOLLIP	54472	Q9H0E2	31.4	5
Q9UIW2	Plxna1	362398	D3Z981	Plxna1	18844	P70206	PLXNA1	5361	Q9UIW2	10.8	7
O14810	Cplx1	64832	P63041	Cplx1	12889	P63040	CPLX1	10815	O14810	54.5	4
Q9NPJ3	Acot13	291135	D3ZA93	Acot13	66834	Q9CQR4	ACOT13	55856	Q9NPJ3	33.6	4
P21266	LOC100912430	100912430	NA	Gstm5	14866	P48774	GSTM3	2947	P21266	37.3	6
Q13555	Camk2g	171140	P11730	Camk2g	12325	Q923T9	CAMK2G	818	Q13555	31	16
Q9H2X9	Slc12a5	171373	Q63633	Slc12a5	57138	Q91V14	SLC12A5	57468	Q9H2X9	9	4
Q8N0X7	Spg20	295053	NA	Spg20	229285	Q8R1X6	SPG20	23111	Q8N0X7	13.2	4
Q969T9	Wbp2	192645	Q8R478	Wbp2	22378	P97765	WBP2	23558	Q969T9	17.6	5
Q9P1Y5	Camsap3	689074	D3ZXQ2	Camsap3	69697	Q80VC9	CAMSAP3	57662	Q9P1Y5	14.7	6
Q9UPQ0	Limch1	305332	F1M392	Limch1	77569	Q3UH68	LIMCH1	22998	Q9UPQ0	17.5	5
Q96PY5	Fmnl2	499797	NA	Fmnl2	71409	A2APV2	FMNL2	114793	Q96PY5	10.8	4
Q13033	Strn3	114520	P58405	Strn3	94186	Q9ERG2	STRN3	29966	Q13033	9.4	4
Q9Y696	Clic4	83718	Q9Z0W7	Clic4	29876	Q9QYB1	CLIC4	25932	Q9Y696	39.1	4
P51970	Ndufa8	296658	A0A0G2JVL6	Ndufa8	68375	Q9DCJ5	NDUFA8	4702	P51970	42.4	4
P30046	Ddt	29318	P80254	Ddt	13202	O35215	DDT	1652	P30046	55.9	4
Q92796	Dlg3	58948	Q62936	Dlg3	53310	P70175	DLG3	1741	Q92796	17.3	4
O95630	Stambp	171565	Q8R424	Stambp	70527	Q9CQ26	STAMBP	10617	O95630	27.6	4
P52594	Agfg1	363266	Q4KLH5	Agfg1	15463	Q8K2K6	AGFG1	3267	P52594	10.3	4
P51674	Gpm6a	306439	Q812E9	Gpm6a	234267	P35802	GPM6A	2823	P51674	18	4
P61081	Ube2m	361509	D3ZNQ6	Ube2m	22192	P61082	UBE2M	9040	P61081	35.5	4
P51178	Plcd1	24655	P10688	Plcd1	18799	Q8R3B1	PLCD1	5333	P51178	11.1	4
O15540	Fabp7	80841	P55051	Fabp7	12140	P51880	FABP7	2173	O15540	51.5	3
Q9UPP5	Btbd8	100364240	NA	A830010M20Rik	231570	Q80TK0	KIAA1107	23285	Q9UPP5	11.1	5
Q27J81	Inf2	362790	NA	Inf2	70435	Q0GNC1	INF2	64423	Q27J81	9.5	4
P19086	Gnaz	25740	P19627	Gnaz	14687	O70443	GNAZ	2781	P19086	20	5
P60891	Prps1	29562	NA	Prps1	19139	Q9D7G0	PRPS1	5631	P60891	29.9	4
Q6PCE3	Pgm2l1	685076	D3Z955	Pgm2l1	70974	Q8CAA7	PGM2L1	283209	Q6PCE3	10.1	4
Q8N608	Dpp10	363972	Q6Q629	Dpp10	269109	Q6NXK7	DPP10	57628	Q8N608	15.2	6
O95219	Snx4	360725	B2RYI6	Snx4	69150	Q91YJ2	SNX4	8723	O95219	13.8	4
P09496	Clta	83800	P08081	Clta	12757	B1AWD8	CLTA	1211	P09496	17.7	4
O94832	Myo1d	25485	Q63357	Myo1d	338367	Q5SYD0	MYO1D	4642	O94832	11.2	4
Q13409	Dync1i2	116659	G3V9V3	Dync1i2	13427	O88487	DYNC1I2	1781	Q13409	18.2	4
O15530	Pdpk1	81745	O55173	Pdpk1	18607	Q9Z2A0	PDPK1	5170	O15530	24.8	3
P08247	Syp	24804	P07825	Syp	20977	Q62277	SYP	6855	P08247	14.7	5
P00352	Aldh1a1	24188	P51647	NA	NA	NA	ALDH1A1	216	P00352	24.2	5
Q92499	Ddx1	84474	Q641Y8	Ddx1	104721	Q91VR5	DDX1	1653	Q92499	14.9	4
Q9NZQ3	Nckipsd	301009	NA	Nckipsd	80987	Q9ESJ4	NCKIPSD	51517	Q9NZQ3	13.2	3
P53621	Copa	304978	G3V6T1	Copa	12847	Q8CIE6	COPA	1314	P53621	8.2	4
Q15691	Mapre1	114764	Q66HR2	Mapre1	13589	Q61166	MAPRE1	22919	Q15691	32.5	4
Q9NZW5	Mpp6	362359	B5DFE0	Mpp6	56524	Q9JLB0	MPP6	51678	Q9NZW5	16.1	6
Q15700	Dlg2	64053	Q63622	Dlg2	23859	Q91XM9	DLG2	1740	Q15700	16.4	4
P67936	Tpm4	24852	P09495	Tpm4	326618	Q6IRU2	TPM4	7171	P67936	29.8	3
Q9Y4G8	Rapgef2	310533	F1M386	Rapgef2	76089	Q8CHG7	RAPGEF2	9693	Q9Y4G8	13.7	5
Q9NVS9	Pnpo	64533	O88794	Pnpo	103711	Q91XF0	PNPO	55163	Q9NVS9	28	4
P60201	Plp1	24943	P60203	Plp1	18823	P60202	PLP1	5354	P60201	23.1	7
Q9HC38	Glod4	363644	Q5I0D1	Glod4	67201	Q9CPV4	GLOD4	51031	Q9HC38	19.2	3
Q92945	Khsrp	171137	Q99PF5	Khsrp	16549	Q3U0V1	KHSRP	8570	Q92945	10.1	3
P78344	Eif4g2	361628	Q1RP76	Eif4g2	13690	Q62448	EIF4G2	1982	P78344	17.3	3
O75947	Atp5h	641434	P31399	Atp5h	71679	Q9DCX2	ATP5H	10476	O75947	35.4	3
Q92974	Arhgef2	310635	Q5FVC2	Arhgef2	16800	Q60875	ARHGEF2	9181	Q92974	11.3	3
O43678	Ndufa2	291660	D3ZS58	Ndufa2	17991	Q9CQ75	NDUFA2	4695	O43678	54.6	3
P42858	Htt	29424	G3V9P7	Htt	15194	G3X9H5	HTT	3064	P42858	6.6	5
Q13740	Alcam	79559	O35112	Alcam	11658	Q61490	ALCAM	214	Q13740	16.3	4
Q9NZ45	Cisd1	294362	B0K020	Cisd1	52637	Q91WS0	CISD1	55847	Q9NZ45	42.6	4
P56181	Ndufv3	64539	Q6PCU8	Ndufv3	78330	Q8BK30	NDUFV3	4731	P56181	39.8	3
P63167	Dynll1	58945	P63170	Dynll1	56455	P63168	DYNLL1	8655	P63167	39.3	5
P53597	Suclg1	114597	P13086	Suclg1	56451	Q9WUM5	SUCLG1	8802	P53597	26.9	8
P43155	Crat	311849	Q704S8	Crat	12908	P47934	CRAT	1384	P43155	9.6	3
Q96JH7	Vcpip1	286761	Q8CF97	Vcpip1	70675	Q8CDG3	VCPIP1	80124	Q96JH7	14	3
Q9UFN0	Nipsnap3b	313211	Q5M949	NA	NA	NA	NIPSNAP3A	25934	Q9UFN0	18.6	3
Q16836	Hadh	113965	Q9WVK7	Hadh	15107	Q61425	HADH	3033	Q16836	29.6	5
Q8NE62	Chdh	290551	Q6UPE0	Chdh	218865	Q8BJ64	CHDH	55349	Q8NE62	18.9	3
Q16774	Guk1	303179	Q71RR7	Guk1	14923	Q64520	GUK1	2987	Q16774	33.5	3
Q93008	Usp9x	363445	D3ZC84	Usp9x	22284	P70398	USP9X	8239	Q93008	5.6	4
P11279	Lamp1	25328	P14562	Lamp1	16783	P11438	LAMP1	3916	P11279	15.8	4
P25787	Psma2	29669	P17220	Psma2	19166	P49722	PSMA2	5683	P25787	27.8	3
Q13424	Snta1	362242	B5DFL0	Snta1	20648	A2AKD7	SNTA1	6640	Q13424	23.6	4
O60749	Snx2	291464	B2RYP4	Snx2	67804	Q9CWK8	SNX2	6643	O60749	21.4	4
Q86UW7	Cadps2	312166	NA	Cadps2	320405	Q8BYR5	CADPS2	93664	Q86UW7	21.6	8
P67775	Ppp2ca	24672	P63331	Ppp2ca	19052	P63330	PPP2CA	5515	P67775	21.7	6
Q9P2J5	Lars	291624	Q5PPJ6	Lars	107045	Q8BMJ2	LARS	51520	Q9P2J5	10.3	5
Q9NTJ5	Sacm1l	116482	Q9ES21	Sacm1l	83493	Q9EP69	SACM1L	22908	Q9NTJ5	14.5	3
O00186	Stxbp3	114095	Q99PV2	Stxbp3	20912	Q60770	STXBP3	6814	O00186	17.7	4
Q8N2K0	Abhd12	499913	Q6AYT7	Abhd12	76192	Q99LR1	ABHD12	26090	Q8N2K0	19.6	3
Q00587	Cdc42ep1	315121	A1A5P0	Cdc42ep1	104445	Q91W92	CDC42EP1	11135	Q00587	23.3	3
Q9Y265	Ruvbl1	65137	P60123	Ruvbl1	56505	P60122	RUVBL1	8607	Q9Y265	18.6	3
P61106	Rab14	94197	P61107	Rab14	68365	Q91V41	RAB14	51552	P61106	42.8	6
Q9NYB9	Abi2	286928	O35823	Abi2	329165	P62484	ABI2	10152	Q9NYB9	20.3	6
Q8WW22	Dnaja4	300721	Q4QR73	Dnaja4	58233	Q9JMC3	DNAJA4	55466	Q8WW22	18.4	4
Q92905	Cops5	312916	Q4KM69	Cops5	26754	O35864	COPS5	10987	Q92905	29.9	3
O60256	Prpsap2	117272	O08618	Prpsap2	212627	Q8R574	PRPSAP2	5636	O60256	16.3	3
P45381	Aspa	79251	Q9R1T5	Aspa	11484	Q8R3P0	ASPA	443	P45381	22.7	5
Q5SW79	Cep170	171457	NA	Cep170	545389	Q6A065	CEP170	9859	Q5SW79	14.5	5
Q16773	Ccbl1	311844	Q08415	Ccbl1	70266	Q8BTY1	CCBL1	883	Q16773	14.5	3
Q00341	Hdlbp	64474	Q3KRF2	Hdlbp	110611	Q8VDJ3	HDLBP	3069	Q00341	8.4	4
Q8N7J2	Amer2	498529	NA	Amer2	72125	Q8CCJ4	AMER2	219287	Q8N7J2	14.9	3
Q8WVM8	Scfd1	54350	Q62991	Scfd1	76983	Q8BRF7	SCFD1	23256	Q8WVM8	9	3
Q9BQE5	Apol3	315108	Q5U1W1	NA	NA	NA	APOL2	23780	Q9BQE5	12.5	3
O14775	Gnb5	83579	P62882	Gnb5	14697	P62881	GNB5	10681	O14775	11.9	3
Q9P260	RGD1307235	309053	D3ZJ01	2310035C23Rik	227446	Q148V7	KIAA1468	57614	Q9P260	9.1	3
Q9Y285	Farsa	288917	Q505J8	Farsa	66590	Q8C0C7	FARSA	2193	Q9Y285	17.7	3
P15880	Rps2	83789	P27952	Rps2	16898	P25444	RPS2	6187	P15880	31.1	3
P20073	Anxa7	155423	Q6IRJ7	Anxa7	11750	Q07076	ANXA7	310	P20073	14.3	3
Q9Y6M9	Ndufb9	299954	B2RYW3	Ndufb9	66218	Q9CQJ8	NDUFB9	4715	Q9Y6M9	40.8	3
Q9Y2C4	Exog	301062	D3ZTW9	Exog	208194	Q8C163	EXOG	9941	Q9Y2C4	18.2	3
P31937	Hibadh	63938	P29266	Hibadh	58875	Q99L13	HIBADH	11112	P31937	15.5	3
Q15819	Ube2v2	287927	Q7M767	Ube2v2	70620	Q9D2M8	UBE2V2	7336	Q15819	57.2	7
Q9UMX0	Ubqln1	114590	Q9JJP9	Ubqln1	56085	Q8R317	UBQLN1	29979	Q9UMX0	24.3	7
P17612	Prkaca	25636	A1L1M0	Prkaca	18747	P05132	PRKACA	5566	P17612	20.2	10
Q9Y281	Cfl2	366624	M0RC65	Cfl2	12632	P45591	CFL2	1073	Q9Y281	59.6	8
Q14012	Camk1	171503	Q63450	Camk1	52163	Q91YS8	CAMK1	8536	Q14012	18.4	6
Q15366	Pcbp2	363005	Q6AYU5	Pcbp2	18521	Q61990	PCBP2	5094	Q15366	27.7	6
O75190	Dnajb6	362293	Q6AYU3	Dnajb6	23950	O54946	DNAJB6	10049	O75190	13.5	4
Q9P1U1	Actr3b	362298	F1LY09	Actr3b	242894	Q641P0	ACTR3B	57180	Q9P1U1	15.3	4
Q9NQX3	Gphn	64845	Q03555	Gphn	268566	Q8BUV3	GPHN	10243	Q9NQX3	18.2	3
Q9NVI7	Atad3a	298682	Q3KRE0	NA	NA	NA	ATAD3A	55210	Q9NVI7	18.6	3
Q9UNE7	Stub1	287155	D4A4T0	Stub1	56424	Q9WUD1	STUB1	10273	Q9UNE7	29.4	3
Q9Y5P6	Gmppb	363145	D4A746	Gmppb	331026	Q8BTZ7	GMPPB	29925	Q9Y5P6	28.1	3
Q96CM8	Acsf2	619561	Q499N5	Acsf2	264895	Q8VCW8	ACSF2	80221	Q96CM8	12.2	3
Q9HAV7	Grpel1	79563	P97576	Grpel1	17713	Q99LP6	GRPEL1	80273	Q9HAV7	36.9	3
Q96C19	Efhd2	298609	Q4FZY0	Efhd2	27984	Q8C845	EFHD2	79180	Q96C19	27.9	3
P48444	Arcn1	300674	Q66H80	Arcn1	213827	Q5XJY5	ARCN1	372	P48444	12.7	3
P05166	Pccb	24624	Q68FZ8	Pccb	66904	Q99MN9	PCCB	5096	P05166	11	3
Q9Y653	Gpr56	260326	F1LMW3	Adgrg1	14766	Q8K209	ADGRG1	9289	Q9Y653	10.7	3
Q9Y305	Acot9	302640	Q5U2X8	Acot9	56360	Q9R0X4	ACOT9	23597	Q9Y305	11.6	3
Q9NP97	Dynlrb1	170714	P62628	Dynlrb1	67068	P62627	DYNLRB1	83658	Q9NP97	56.3	3
Q9GZT8	Nif3l1	301431	Q4V7D6	Nif3l1	65102	Q9EQ80	NIF3L1	60491	Q9GZT8	21.5	3
Q92529	Shc3	114858	G3V7V0	Shc3	20418	Q61120	SHC3	53358	Q92529	15.8	3
Q8WU79	Smap2	298500	B1WBX6	Smap2	69780	Q7TN29	SMAP2	64744	Q8WU79	14.9	3
P59998	Arpc4	297518	B2RZ72	Arpc4	68089	P59999	ARPC4	10093	P59998	29.2	3
P49589	Cars	293638	G3V9K0	Cars	27267	Q9ER72	CARS	833	P49589	9.1	3
O75569	Prkra	311130	Q4V8C7	Prkra	23992	Q9WTX2	PRKRA	8575	O75569	20.5	3
O43399	Tpd52l2	296480	Q6PCT3	Tpd52l2	66314	Q9CYZ2	TPD52L2	7165	O43399	33	3
Q9HAR2	Lphn3	170641	Q9Z173	Adgrl3	319387	Q80TS3	ADGRL3	23284	Q9HAR2	3.9	3
Q9H4G4	Glipr2	679819	F1M5V2	Glipr2	384009	Q9CYL5	GLIPR2	152007	Q9H4G4	37	3
Q9H008	Lhpp	361663	Q5I0D5	Lhpp	76429	Q9D7I5	LHPP	64077	Q9H008	17.4	4
Q96PU8	Qki	100910212	NA	Qk	19317	Q9QYS9	QKI	9444	Q96PU8	19.1	3
Q92734	Tfg	360709	Q6AYR1	Tfg	21787	Q8C2C6	TFG	10342	Q92734	12.8	5
Q14318	Fkbp8	290652	Q3B7U9	Fkbp8	14232	O35465	FKBP8	23770	Q14318	13.1	3
P52943	Crip2	338401	P36201	Crip2	68337	Q9DCT8	CRIP2	1397	P52943	38.9	3
P50995	Anxa11	290527	Q5XI77	Anxa11	11744	P97384	ANXA11	311	P50995	13.7	4
P41222	Ptgds	25526	P22057	Ptgds	19215	O09114	PTGDS	5730	P41222	32.1	3
P28074	Psmb5	29425	P28075	Psmb5	19173	O55234	PSMB5	5693	P28074	22.8	3
P19623	Srm	84596	Q99MI5	Srm	20810	Q64674	SRM	6723	P19623	16.2	3
P17302	Gja1	24392	P08050	Gja1	14609	P23242	GJA1	2697	P17302	16	3
P14314	Prkcsh	300445	B1WC34	Prkcsh	19089	O08795	PRKCSH	5589	P14314	9.5	3
P07858	Ctsb	64529	Q6IN22	Ctsb	13030	P10605	CTSB	1508	P07858	13.9	6
P04216	Thy1	24832	P01830	Thy1	21838	P01831	THY1	7070	P04216	21.1	4
O00487	Psmd14	311078	Q4V8E2	Psmd14	59029	O35593	PSMD14	10213	O00487	21	3
Q9Y6T7	Dgkb	54248	P49621	Dgkb	217480	Q6NS52	DGKB	1607	Q9Y6T7	4.5	3
Q9Y3C6	Ppil1	309651	Q4KLI4	Ppil1	68816	Q9D0W5	PPIL1	51645	Q9Y3C6	26.5	3
Q9BRA2	Txndc17	287474	B0K010	Txndc17	52700	Q9CQM5	TXNDC17	84817	Q9BRA2	26.8	3
Q99829	Cpne1	362249	NA	Cpne1	266692	Q8C166	CPNE1	8904	Q99829	7.3	4
Q96RF0	Snx18	310097	D3ZZ38	Snx18	170625	Q8C788	SNX18	112574	Q96RF0	7.2	3
Q969H8	LOC501282	501282	NA	Mydgf	28106	Q9CPT4	MYDGF	56005	Q969H8	20.8	3
Q8TC12	Rdh11	362757	Q6AXX5	Rdh11	17252	Q9QYF1	RDH11	51109	Q8TC12	15.7	3
Q8IYB5	Smap1	684800	M0RC57	Smap1	98366	Q91VZ6	SMAP1	60682	Q8IYB5	7.7	3
Q3ZCW2	Lgalsl	360983	B4F7A3	Lgalsl	216551	Q8VED9	LGALSL	29094	Q3ZCW2	19.8	3
Q15907	Rab11b	79434	O35509	Rab11b	19326	P46638	RAB11B	9230	Q15907	16.1	3
Q15382	Rheb	26954	Q62639	Rheb	19744	Q921J2	RHEB	6009	Q15382	15.8	3
P62829	Rpl23	29282	P62832	Rpl23	65019	P62830	RPL23	9349	P62829	19.3	3
P56556	Ndufa6	315167	D4A3V2	Ndufa6	67130	Q9CQZ5	NDUFA6	4700	P56556	22.7	4
P35637	Fus	317385	Q5PQK2	Fus	233908	P56959	FUS	2521	P35637	10.8	3
P22830	Fech	361338	D3ZBM3	Fech	14151	Q544X6	FECH	2235	P22830	9.7	3
P13798	Apeh	24206	P13676	Apeh	235606	Q8R146	APEH	327	P13798	4.6	3
P11310	Acadm	24158	P08503	Acadm	11364	P45952	ACADM	34	P11310	7.6	3
O95563	Mpc2	100359982	P38718	Mpc2	70456	Q9D023	MPC2	25874	O95563	26.8	3
O75964	Atp5l	300677	Q6PDU7	Atp5l	27425	Q9CPQ8	ATP5L	10632	O75964	35.9	3
O75380	LOC100912599	100912599	NA	Ndufs6	407785	P52503	NDUFS6	4726	O75380	31.5	3
O14880	Mgst3	289197	D4ADS4	Mgst3	66447	Q9CPU4	MGST3	4259	O14880	34.2	4
O94910	Lphn1	65096	O88917	Adgrl1	330814	Q80TR1	ADGRL1	22859	O94910	3.1	3
Q9Y6R1	Slc4a4	84484	Q9JI66	Slc4a4	54403	O88343	SLC4A4	8671	Q9Y6R1	5.1	3
Q8NBS9	Txndc5	100362805	D3ZZC1	Txndc5	105245	Q91W90	TXNDC5	81567	Q8NBS9	22.9	3
P28072	Psmb6	29666	P28073	Psmb6	19175	Q60692	PSMB6	5694	P28072	17.2	4
P55087	Aqp4	25293	P47863	Aqp4	11829	P55088	AQP4	361	P55087	18	5
Q9NQW6	Anln	363031	NA	Anln	68743	Q8K298	ANLN	54443	Q9NQW6	12.1	3
Q9NX63	Chchd3	296966	D3ZUX5	Chchd3	66075	Q9CRB9	CHCHD3	54927	Q9NX63	32.2	3
P48723	Hspa13	29734	O35162	Hspa13	110920	Q8BM72	HSPA13	6782	P48723	13.8	3
Q13045	Flii	287375	Q5RKI5	Flii	14248	Q9JJ28	FLII	2314	Q13045	3.7	3
Q9GZV4	Eif5a2	310261	G3V7J7	Eif5a2	208691	Q8BGY2	EIF5A2	56648	Q9GZV4	24.8	4
Q9BT78	Cops4	360915	Q68FS2	Cops4	26891	O88544	COPS4	51138	Q9BT78	14.5	4
Q96JG6	Ccdc132	312083	F1LSG8	Ccdc132	73288	Q8CI71	VPS50	55610	Q96JG6	7.4	3
P35573	Agl	362029	D4AEH9	Agl	77559	F8VPN4	AGL	178	P35573	5.1	3
Q93009	Usp7	360471	Q4VSI4	Usp7	252870	Q6A4J8	USP7	7874	Q93009	4.4	3
P13667	Pdia4	116598	P38659	Pdia4	12304	P08003	PDIA4	9601	P13667	12.1	3
Q5TC12	Atpaf1	313510	D3ZY50	Atpaf1	230649	H3BLL2	ATPAF1	64756	Q5TC12	14.9	3
O94903	Prosc	306544	D3ZCA0	Prosc	114863	Q9Z2Y8	PROSC	11212	O94903	26.9	3
Q5SNT6	NA	NA	NA	NA	NA	NA	WASHC2A	387680	Q5SNT6	11.1	3
Q7KZI7	Mark2	60328	O08679	Mark2	13728	Q05512	MARK2	2011	Q7KZI7	20.6	4
Q9UL25	Rab21	299799	Q6AXT5	Rab21	216344	P35282	RAB21	23011	Q9UL25	27.1	3
P12236	Slc25a6	498885	NA	NA	NA	NA	SLC25A6	293	P12236	48	20
Q00536	Cdk16	81741	Q63686	Cdk16	18555	Q04735	CDK16	5127	Q00536	14.5	5
Q13332	Ptprs	25529	Q64605	Ptprs	19280	B0V2N1	PTPRS	5802	Q13332	6.5	4
P32418	Slc8a1	29715	Q01728	Slc8a1	20541	P70414	SLC8A1	6546	P32418	8.6	3
Q15075	Eea1	314764	NA	Eea1	216238	Q8BL66	EEA1	8411	Q15075	18	4
O00330	Pdhx	311254	Q7TQ85	Pdhx	27402	Q8BKZ9	PDHX	8050	O00330	15.4	4
Q9HCC0	Mccc2	361884	Q5XIT9	Mccc2	78038	Q3ULD5	MCCC2	64087	Q9HCC0	14.2	3
Q9UBQ0	Vps29	288666	B2RZ78	Vps29	56433	Q9QZ88	VPS29	51699	Q9UBQ0	24.7	3
Q16864	Atp6v1f	116664	P50408	Atp6v1f	66144	Q9D1K2	ATP6V1F	9296	Q16864	39.5	3
P09651	Hnrnpa1	29578	P04256	Hnrnpa1	15382	P49312	HNRNPA1	3178	P09651	21.2	5
Q9BPW8	Nipsnap1	360971	G3V728	Nipsnap1	18082	O55125	NIPSNAP1	8508	Q9BPW8	21.1	3
Q12756	Kif1a	363288	NA	Kif1a	16560	E9Q9G6	KIF1A	547	Q12756	6.8	3
Q8N4C8	Mink1	303259	F1LN69	Mink1	50932	Q9JM52	MINK1	50488	Q8N4C8	7.2	4
Q9Y2Q0	Atp8a1	289615	NA	Atp8a1	11980	P70704	ATP8A1	10396	Q9Y2Q0	5.2	3
Q16698	Decr1	117543	Q64591	Decr1	67460	Q9CQ62	DECR1	1666	Q16698	21.8	4
Q8N9N7	LOC100910478	100910478	NA	Lrrc57	66606	Q8JZX5	LRRC57	255252	Q8N9N7	23.4	3
Q6F5E8	Rltpr	307797	D3ZC15	Rltpr	234695	Q3V3V9	RLTPR	146206	Q6F5E8	6.6	3
Q16401	Psmd5	296651	B2RYP1	Psmd5	66998	Q8BJY1	PSMD5	5711	Q16401	9.7	3
Q13564	Nae1	84019	A1L122	Nae1	234664	Q8VBW6	NAE1	8883	Q13564	18	3
P12955	Pepd	292808	Q5I0D7	Pepd	18624	Q11136	PEPD	5184	P12955	13	4
Q9H0F7	Arl6	363760	B1WC73	Arl6	56297	O88848	ARL6	84100	Q9H0F7	26.3	3
P48730	Csnk1d	64462	Q06486	Csnk1d	104318	Q9DC28	CSNK1D	1453	P48730	21.9	3
P54764	Epha4	316539	D3ZZK3	Epha4	13838	Q03137	EPHA4	2043	P54764	5.5	3
P52895	Akr1c2	291283	Q6AYQ2	NA	NA	NA	AKR1C2	1646	P52895	13	3
Q9NRX4	Phpt1	296571	D3ZP47	Phpt1	75454	Q9DAK9	PHPT1	29085	Q9NRX4	60.8	3
